sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
132,2,MGS3,-1.1930351,0.91667837,1.7142138,-2.4749403,-1.0843045,1.8385044,0.38345838,-0.24325791,-0.6247149,-0.8647079,0.28507277,-1.1240778,-1.0515262,0.40683067,-1.0786555,-0.05735184
133,3,MGS4,0.30797735,0.019221589,0.14525682,-0.930266,-0.038431067,-1.1785164,-0.16700685,1.7397007,-0.29988995,0.25235376,-0.4812731,-1.8260194,0.167862,1.977242,-0.82709235,1.1721783
134,1,MGS2,0.03821054,0.66553366,-0.79573816,-0.4447469,-0.17311718,-0.18884078,0.7247637,0.6008493,2.4226582,1.613099,-0.69788575,-0.26308993,0.6554552,0.96731913,-0.36894742,-1.7801982
136,1,MGS2,0.048991602,0.20500325,-0.01653681,0.09546622,2.634091,0.4333408,2.1084065,-0.5225739,1.6711463,-1.1175498,-1.7030036,0.62465775,-2.721158,-0.17525077,-3.3154948,2.6709354
137,0,MGS1,1.3331933,0.5307452,-2.0387244,0.73738354,1.0191325,1.3269113,0.99491435,1.6977478,0.98875284,-1.0199288,-0.9833646,-0.557111,-0.38661614,0.880879,-0.6793811,-1.2959807
138,1,MGS2,0.42630923,-1.2470386,-0.689194,0.54992396,0.888549,-0.13781005,-0.5728043,-0.9797964,0.4680812,1.0692738,-1.7389977,-0.4183176,0.48558417,0.51651084,0.12980747,-1.1236578
139,0,MGS1,-0.48081964,-1.5434865,1.3009607,-0.52753747,0.40857834,-0.8751759,-1.1335874,-0.7579957,-0.14195761,-1.3190457,1.1180708,-1.1748409,2.4303455,-0.041929513,-1.4822302,-1.0558857
141,1,MGS2,-0.69070554,-1.0701602,-0.0053096088,-1.0774964,0.28507936,-1.1080599,0.64759105,0.38747048,0.3353865,0.1808537,0.56654257,-0.66406554,-0.23489465,1.1642307,-0.2252175,-2.1905801
142,0,MGS1,-0.8567574,-0.8283608,0.15942684,-1.5230615,1.6242659,-1.2985885,-0.08906981,-1.1510456,2.3405602,-0.5696252,0.65462244,-0.291391,1.601104,-0.30601048,0.47200757,-1.1400343
144,2,MGS3,0.47585428,0.81241864,-0.039044783,-1.0169477,-0.23760644,0.91355675,0.63145936,1.4364929,0.785246,0.25408626,0.48316282,-0.73365545,-1.7509918,-0.3974152,1.1362951,-1.3320435
145,0,MGS1,-0.20941924,0.05895097,-0.42288822,0.28281772,0.19930248,0.621192,0.3179176,1.3684465,0.62697095,-1.0714223,-0.86054796,-1.4366983,0.24693553,-1.1580076,0.3749867,-0.33495766
