sample_id,mgs_class,mgs_grade,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15
111,1,MGS2,2.129958,0.69722325,0.9519489,-0.5618104,-1.4142364,0.0069672195,0.09767295,-0.6043238,0.25737727,-0.013752956,-0.6362496,0.8277018,-0.03740271,-0.4991893,-1.2863644,1.3130214
112,1,MGS2,-0.05242223,-0.6627245,0.218959,0.6197965,1.400667,-1.2635381,-0.16192223,0.24095711,0.06916013,0.5586981,-0.21440238,-0.6044057,0.9565877,-0.06629291,0.1098449,0.7470455
113,1,MGS2,1.019591,-0.2926368,0.8498716,-0.34864998,-0.8873121,-0.017199,0.27212223,0.8435272,-0.81181943,0.43104735,0.20778984,-0.8460115,-0.61841595,0.3777301,-2.1814313,-0.5950998
114,2,MGS3,2.1199813,0.46241617,1.0048141,-0.005386066,-0.60790986,-0.72576994,-0.16373238,0.47507676,-1.3915063,0.6685896,0.2026173,0.04481651,0.37799788,0.09359111,-2.0102448,-0.8431169
115,0,MGS1,-0.07025536,0.07179695,0.439911,-0.46675757,0.45813227,-0.30111495,0.19223928,0.17379087,-0.9048107,1.0343758,1.2674634,-1.1195915,0.9266438,-0.20080636,-0.68551546,0.34283572
116,3,MGS4,1.1013348,2.596969,-0.12350908,-1.3201929,-0.9468376,-0.032183275,0.11907741,-1.3547546,0.056761116,1.6083776,1.0069027,0.75615263,0.4597213,0.36679786,-0.23859757,0.8786796
117,0,MGS1,-1.6644216,-3.2403407,-1.8536987,1.9078711,1.0773848,-1.222433,0.25324988,0.6604127,0.87301916,-1.8205976,-1.2119102,-0.55429536,0.8834353,0.60385984,1.0030563,-1.3030702
119,0,MGS1,0.113057,-1.1716518,0.36786786,0.69026494,-0.8782782,0.50687826,0.7402794,1.0674632,0.1756092,-0.74999934,-0.9332999,-1.0204449,0.15915585,0.6751116,-1.4895259,-1.7414007
120,0,MGS1,0.71127766,-1.0634947,0.104212135,-1.3432544,-1.2970208,-0.40541273,-0.53509283,1.0007321,-0.9616858,-0.4909299,-0.3285133,0.44765696,-0.7460488,1.8114908,-0.47948667,-0.87245566
121,2,MGS3,1.107367,0.1778949,-0.57536983,-0.8461955,-0.53112525,0.30772394,-1.0823851,0.65460694,-0.41152677,0.10537975,0.20273514,-0.20801407,0.040894255,1.3543602,-0.6886924,-0.06643163
122,1,MGS2,1.0858816,-0.5481554,-0.22484599,-1.3084363,-1.1043917,-0.30565274,0.35866395,0.8046823,-1.2838601,-0.1703072,0.5867581,0.12675147,-0.27207822,-0.24835059,-1.4922644,-0.8306187
123,2,MGS3,0.016973823,1.935005,-0.35160512,-1.2402471,-1.3247821,0.48711398,1.6394795,-1.1814691,-0.58561516,0.20990475,1.5203967,-0.3196964,0.9789833,-0.11847922,-1.006163,-0.07894252
124,3,MGS4,0.6782418,-0.37656826,-0.9313154,0.9860899,-0.76877844,1.0505055,0.46135354,1.6131746,0.45223442,-1.423216,-1.3688797,-1.1894014,0.11891285,0.6998306,-1.3466797,-1.2109517
125,3,MGS4,2.2795901,0.62920403,0.06810562,-1.1997123,-0.15442444,-1.2583699,-0.090627365,-0.16826513,-1.4600112,-0.73880845,1.5361296,-0.47968143,0.30548277,1.0218961,-0.8299069,-0.62822884
126,0,MGS1,0.40631127,-3.0321012,-0.8875264,-0.36918482,0.40069714,-1.0411818,1.1877453,0.5935212,-1.1876774,-2.3936677,1.2033976,-2.285173,0.3536483,0.09099707,-0.93236697,-0.5507101
127,1,MGS2,-0.11368832,0.65641224,-1.5739017,0.23057717,0.59904695,-0.21994048,0.7459263,0.24085733,-1.0002412,-0.080952644,0.2678079,0.13315567,0.4603596,1.4207416,-0.5339411,-2.2194345
128,2,MGS3,-0.6996905,1.3720587,-0.021958144,-1.5046923,-0.5559997,-0.020335857,0.657344,-1.2925442,-0.55223364,1.7859902,2.332993,-0.97446895,1.4836864,-0.6925027,-0.6931496,1.2459571
129,1,MGS2,0.937876,-0.35741645,0.16300648,-1.0444516,-0.09912317,-1.0194554,0.4021561,-0.88704723,-0.28648874,-0.5729511,0.6310533,-0.30289376,1.1065056,-0.397629,0.31806195,0.87785244
130,2,MGS3,1.7071081,2.0023592,0.0094147865,-0.31623235,0.9514625,0.35807982,0.90112644,0.22931446,-0.7819648,1.7037691,1.5819167,-1.7969114,0.45457932,1.2238338,-1.1830839,-0.11525363
