patient_1,patient_2,weight
317,347,0.7222540193488152
246,335,0.7222352959216001
109,499,0.7213858301686007
133,452,0.7209456740674469
89,115,0.7209412842147631
419,523,0.7209358032091142
6,139,0.7209166508458726
420,516,0.7205946151142348
218,321,0.7204634679474795
251,292,0.7202756663021179
178,223,0.7202392892894289
18,270,0.7199634954639627
353,403,0.7196904674829275
125,376,0.719205926048918
403,452,0.718996917924131
477,480,0.7187478382145609
311,317,0.7184260877742077
224,451,0.7181286872158418
217,468,0.7181178598940114
125,523,0.7178462863813309
288,466,0.7176691280844386
447,468,0.7176067795097358
318,335,0.7175761097056603
133,375,0.7166584553055346
405,447,0.7166331628662705
316,350,0.7164883232112016
89,317,0.7164074584105236
415,499,0.7162288184946637
41,73,0.7161796226429858
47,224,0.7160291485560036
209,480,0.7159693323111909
99,347,0.7154487316341309
115,234,0.7152843930201931
149,348,0.7150290965755826
451,484,0.7149079493533056
217,503,0.7141304729327949
178,466,0.7139222029538268
266,405,0.7136807785363828
288,315,0.7136331913186205
294,523,0.7135408723641976
484,516,0.7134610426078494
35,413,0.7129123545322082
119,459,0.7126436084562199
264,320,0.7124692349231931
139,466,0.7124380947279831
217,405,0.712308045526392
99,466,0.7122738040297198
157,468,0.7121429190743471
109,355,0.7120752696761037
229,413,0.7119769720432183
133,160,0.7118341572948417
415,517,0.7115288397089794
350,356,0.7113252719115385
178,246,0.7112220536400391
288,291,0.7110308693926376
243,415,0.7109358029954724
452,523,0.7108066977306753
160,515,0.7107473111854105
149,288,0.7105869573997224
119,375,0.7101370878142319
232,516,0.710008560667398
32,335,0.7092724260546376
198,335,0.7092671250366396
223,495,0.7092566467502457
18,316,0.7086245891467194
364,375,0.7086084265213642
237,451,0.7085535897725079
315,466,0.7085280321081466
321,389,0.708426008458354
43,142,0.7083952923321291
95,466,0.707821376800429
452,515,0.7077190364305485
178,318,0.7076433643262496
224,420,0.7071286307261408
322,350,0.7067127670976008
509,517,0.7066693472549986
313,321,0.706661679273952
137,145,0.7054872354681728
47,406,0.7053150882208564
335,425,0.7052855901461441
41,47,0.7052542057476598
353,375,0.7052268611545923
107,124,0.7051450294921073
42,419,0.7051239601220034
33,46,0.7051114465259897
32,490,0.7048542656495412
375,411,0.7047868915006451
41,451,0.7045097109482723
41,521,0.7043363516532892
125,209,0.7042379903396514
2,350,0.703899447541092
