"gene","frequency"
"IGFBP7",2
"INSIG2",2
"IQSEC3",2
"ITGA7",2
"ITGB1",2
"ITPKC",2
"JUP",2
"KCNA5",2
"KCND3",2
"KCNQ2",2
"KIF21B",2
"KLHL5",2
"KMT2D",2
"KPNA1",2
"KPNA3",2
"KPNA5",2
"KRT18P6",2
"LAMA5",2
"LANCL1",2
"LARS2",2
"LINC00672",2
"LINC00887",2
"LINC01152",2
"LLGL2",2
"LLNLR-268E12.1",2
"LONP1",2
"LRCH3",2
"LRP3",2
"LRPAP1",2
"LRRC58",2
"LSP1",2
"LUC7L3",2
"LZTR1",2
"MAMLD1",2
"MAP3K10",2
"MAP3K2",2
"MAP4K1",2
"MAPK11",2
"MAPK8IP3",2
"MAPT-AS1",2
"MARCH7",2
"MARK4",2
"MBD6",2
"MED15",2
"MED24",2
"MFSD14A",2
"MGAT1",2
"MIER3",2
"MINK1",2
"MIOS",2
"MNT",2
"MOXD1",2
"MRPL10",2
"MSH2",2
"MTA2",2
"MTF2",2
"MTMR1",2
"MVD",2
"MYO1C",2
"MYT1L",2
"NADK",2
"NAT9",2
"NDUFB8",2
"NEK1",2
"NEURL1",2
"NFKBID",2
"NFKBIL1",2
"NIT2",2
"NOC2L",2
"NSUN4",2
"NUDT4",2
"NUP155",2
"NUP58",2
"NXT1",2
"OBSCN",2
"OGDHL",2
"OLFML2B",2
"ORC2",2
"OSGIN2",2
"PAIP2",2
"PAPOLA",2
"PARM1",2
"PARP8",2
"PCNX3",2
"PDC",2
"PDCD2",2
"PHB2",2
"PHIP",2
"PHTF2",2
"PIGQ",2
"PIH1D2",2
"PIK3CA",2
"PISD",2
"PKM",2
"PKN1",2
"PLA2G6",2
"PLEC",2
"PLEKHG1",2
"PNPLA6",2
"PODXL2",2
"POLD2",2
"POLR2E",2
"PPARD",2
"PPP1CC",2
"PPP1R15A",2
"PPP1R16A",2
"PPP1R37",2
"PPP1R9A",2
"PPP2R2C",2
"PPP3CB-AS1",2
"PRCP",2
"PRKAR2A",2
"PRMT1",2
"PRRC2A",2
"PSD4",2
"PSIP1",2
"PSMB4",2
"PSMC5",2
"PTPRB",2
"PTPRD",2
"PTPRU",2
"PURB",2
"PYROXD1",2
"RAB12",2
"RAB14",2
"RAB1A",2
"RAB26",2
"RAB34",2
"RABIF",2
"RAD1",2
"RAD23A",2
"RAI1",2
"RANBP6",2
"RAP1GAP",2
"RAP1GDS1",2
"RBM26",2
"REEP5",2
"RET",2
"RHOC",2
"RNF141",2
"RNF150",2
"RNF170",2
"RNF20",2
"RNH1",2
"RNPEPL1",2
"ROGDI",2
"RP11-1060G2.2",2
"RP11-155G14.6",2
"RP11-158K1.3",2
"RP11-213G2.3",2
"RP11-297C4.1",2
"RP11-311C24.1",2
"RP11-353K11.1",2
"RP11-646I6.5",2
"RP11-708J19.1",2
"RP11-79H23.3",2
"RP11-84C10.4",2
"RP11-932O9.7",2
"RP5-991G20.1",2
"RPL11",2
"RPL22",2
"RPL36",2
"RPL8",2
"RRP36",2
"SARAF",2
"SASS6",2
"SBF1",2
"SCAF1",2
"SCAF8",2
"SCAMP4",2
"SCAMP5",2
"SCAP",2
"SCYL2",2
"SDAD1P1",2
"SDC2",2
"SEC23IP",2
"SEP15",2
"SGPP1",2
"SH2B1",2
"SHARPIN",2
"SHISA9",2
"SHTN1",2
"SIN3B",2
"SLC1A7",2
"SLC25A13",2
"SLC2A1",2
"SLC30A5",2
"SLC35A1",2
"SLC38A10",2
"SLC39A13",2
"SLC6A17",2
"SLC8A1",2
"SLC9A9",2
"SLX4",2
"SMARCA4",2
"SMARCA5",2
"SMARCB1",2
"SMC6",2
"SNRNP48",2
"SORL1",2
"SOX8",2
"SPACA6P-AS",2
"SRCAP",2
"SRCIN1",2
