"","row","col","weight"
"337","ENSG00000244509","ENSG00000170271",0.799253748262532
"338","ENSG00000167613","ENSG00000155659",0.798940191401277
"339","ENSG00000069535","ENSG00000100196",0.798856210103094
"340","ENSG00000196187","ENSG00000137841",0.798161563779435
"341","ENSG00000150337","ENSG00000148908",0.797191620751842
"342","ENSG00000138964","ENSG00000179583",0.797026211548238
"343","ENSG00000204264","ENSG00000133321",0.79674949704336
"344","ENSG00000204261","ENSG00000166710",0.796622966049979
"345","ENSG00000174130","ENSG00000198223",0.795982781463735
"346","ENSG00000171631","ENSG00000139178",0.795265884255712
"347","ENSG00000204261","ENSG00000234745",0.795113113150847
"348","ENSG00000174130","ENSG00000089041",0.794533664814813
"349","ENSG00000006042","ENSG00000140931",0.794128603625498
"350","ENSG00000095303","ENSG00000188488",0.793885772126663
"351","ENSG00000151322","ENSG00000138193",0.793653398924455
"352","ENSG00000204381","ENSG00000145431",0.793291126930824
"353","ENSG00000182326","ENSG00000168004",0.793082421723373
"354","ENSG00000073331","ENSG00000196569",0.792951312536854
"355","ENSG00000203747","ENSG00000174125",0.792570089130806
"356","ENSG00000111801","ENSG00000129675",0.792517772502164
"357","ENSG00000113924","ENSG00000147588",0.792424167252837
"358","ENSG00000251442","ENSG00000203747",0.792236021446274
"359","ENSG00000174130","ENSG00000134516",0.792020897996811
"360","ENSG00000153029","ENSG00000132718",0.791500008494829
"361","ENSG00000179583","ENSG00000110876",0.791166229169977
"362","ENSG00000041982","ENSG00000142661",0.791088643671762
"363","ENSG00000231389","ENSG00000198223",0.790900918808014
"364","ENSG00000151322","ENSG00000205403",0.790830341935158
"365","ENSG00000147065","ENSG00000079215",0.790490873900418
"366","ENSG00000262001","ENSG00000177337",0.790388230183184
"367","ENSG00000019582","ENSG00000224389",0.790213231786479
"368","ENSG00000204472","ENSG00000196664",0.789763820040766
"369","ENSG00000242574","ENSG00000110077",0.789681739656999
"370","ENSG00000166741","ENSG00000111783",0.788879515149563
"371","ENSG00000095303","ENSG00000144810",0.788873787414445
"372","ENSG00000159403","ENSG00000196126",0.787768523112829
"373","ENSG00000249306","ENSG00000204381",0.787620281834823
"374","ENSG00000079215","ENSG00000111266",0.787564706714051
"375","ENSG00000172243","ENSG00000082074",0.787530736008213
"376","ENSG00000110077","ENSG00000066294",0.787469017803856
"377","ENSG00000171812","ENSG00000167244",0.786941615518217
"378","ENSG00000082074","ENSG00000174600",0.786842650202743
"379","ENSG00000135272","ENSG00000107798",0.786746549189697
"380","ENSG00000254087","ENSG00000122694",0.786588178088266
"381","ENSG00000234745","ENSG00000106565",0.786308931172636
"382","ENSG00000125730","ENSG00000166741",0.786205766119608
"383","ENSG00000240065","ENSG00000206503",0.785975843442427
"384","ENSG00000134516","ENSG00000174600",0.785625830839383
"385","ENSG00000110092","ENSG00000204252",0.784804521121108
"386","ENSG00000132718","ENSG00000101938",0.784489259211885
"387","ENSG00000083857","ENSG00000150687",0.784029381433638
"388","ENSG00000073331","ENSG00000116132",0.783900918824892
"389","ENSG00000010704","ENSG00000150540",0.783867154637286
"390","ENSG00000231389","ENSG00000197943",0.783816393896378
"391","ENSG00000168394","ENSG00000206503",0.783798885850653
"392","ENSG00000160593","ENSG00000143226",0.783757847465416
"393","ENSG00000166741","ENSG00000138135",0.783452997386516
"394","ENSG00000148735","ENSG00000134769",0.782986390418426
"395","ENSG00000110934","ENSG00000186517",0.782815362920925
"396","ENSG00000174348","ENSG00000077942",0.782415160321092
"397","ENSG00000082074","ENSG00000198223",0.782047611509728
"398","ENSG00000154864","ENSG00000164761",0.781809107206204
"399","ENSG00000205542","ENSG00000148908",0.781794251560789
"400","ENSG00000171860","ENSG00000122122",0.781435360000332
"401","ENSG00000114013","ENSG00000174125",0.781198175598419
"402","ENSG00000082074","ENSG00000094963",0.781180263848697
"403","ENSG00000106565","ENSG00000206503",0.780750959700395
"404","ENSG00000112936","ENSG00000163453",0.78073016315382
"405","ENSG00000167613","ENSG00000066294",0.780719576523813
"406","ENSG00000234745","ENSG00000206503",0.780154918672203
"407","ENSG00000139178","ENSG00000273259",0.780017266731162
"408","ENSG00000138794","ENSG00000205403",0.779851710417673
"409","ENSG00000110077","ENSG00000251442",0.779803016411028
"410","ENSG00000100055","ENSG00000110324",0.779777354664172
"411","ENSG00000138964","ENSG00000101336",0.779445572880551
"412","ENSG00000174348","ENSG00000100979",0.779276121315782
"413","ENSG00000149131","ENSG00000100196",0.779259138281395
"414","ENSG00000223865","ENSG00000140931",0.779135456077671
"415","ENSG00000160307","ENSG00000154864",0.779108115968587
"416","ENSG00000010704","ENSG00000129675",0.779099715370424
"417","ENSG00000198734","ENSG00000115361",0.778435022723115
"418","ENSG00000162520","ENSG00000125730",0.778099652145193
"419","ENSG00000180353","ENSG00000127507",0.777927523401708
"420","ENSG00000132274","ENSG00000244694",0.777838055624582
"421","ENSG00000150540","ENSG00000107798",0.777525277240032
"422","ENSG00000101160","ENSG00000005243",0.777334955957589
"423","ENSG00000101160","ENSG00000244509",0.777227311236874
"424","ENSG00000188488","ENSG00000144810",0.777019773793432
"425","ENSG00000154864","ENSG00000249306",0.776896650432181
"426","ENSG00000159403","ENSG00000131378",0.776672020607456
"427","ENSG00000182326","ENSG00000117226",0.776361584717771
"428","ENSG00000198483","ENSG00000101160",0.775801587471212
"429","ENSG00000168004","ENSG00000069535",0.775178268268181
"430","ENSG00000101104","ENSG00000147065",0.775169888440729
"431","ENSG00000110876","ENSG00000149451",0.774537346725022
"432","ENSG00000155511","ENSG00000164946",0.774516693783869
"433","ENSG00000131386","ENSG00000079215",0.774448889504874
"434","ENSG00000144810","ENSG00000012223",0.774366676547622
"435","ENSG00000137573","ENSG00000205403",0.774177359176446
"436","ENSG00000204287","ENSG00000204136",0.774099323386316
"437","ENSG00000006042","ENSG00000273749",0.773540868824697
"438","ENSG00000153029","ENSG00000244694",0.773455866362143
"439","ENSG00000135926","ENSG00000122176",0.773431024892411
"440","ENSG00000130508","ENSG00000149451",0.77334249787965
"441","ENSG00000079931","ENSG00000181804",0.773164300876139
"442","ENSG00000129675","ENSG00000132718",0.772612750729412
"443","ENSG00000149131","ENSG00000124508",0.772362840457337
"444","ENSG00000153029","ENSG00000010704",0.772098493813601
"445","ENSG00000204525","ENSG00000204642",0.771967591365042
"446","ENSG00000101160","ENSG00000056972",0.771212567698424
"447","ENSG00000091986","ENSG00000170271",0.771188499048124
"448","ENSG00000110077","ENSG00000204136",0.770903186666047
"449","ENSG00000079931","ENSG00000225339",0.770294699538471
"450","ENSG00000006042","ENSG00000005243",0.77003171102893
"451","ENSG00000223865","ENSG00000273749",0.76956197940071
"452","ENSG00000101160","ENSG00000273749",0.76939769877569
"453","ENSG00000262001","ENSG00000197712",0.769266925296691
"454","ENSG00000167767","ENSG00000128285",0.769213012485974
"455","ENSG00000206337","ENSG00000204287",0.769160483295199
"456","ENSG00000006756","ENSG00000140931",0.769083857062357
"457","ENSG00000182326","ENSG00000113924",0.769063376216751
"458","ENSG00000197712","ENSG00000122694",0.769010434472303
"459","ENSG00000174125","ENSG00000143226",0.768799392052977
"460","ENSG00000082074","ENSG00000117226",0.767894425643607
"461","ENSG00000130508","ENSG00000196187",0.767791143906741
"462","ENSG00000148735","ENSG00000144810",0.767772373267453
"463","ENSG00000006042","ENSG00000091986",0.76770623353986
"464","ENSG00000095303","ENSG00000166741",0.767601705733916
"465","ENSG00000006042","ENSG00000244509",0.767105262817121
"466","ENSG00000095303","ENSG00000148735",0.766755815261212
